5562.7662	5000	Ne I 
5563.0531	750	Ne I 
5564.17	70	U I 
5576.0394	350	Ne I 
5581.59	45	U II 
		
5585.905	50	Ne I 
5589.3472	500	Ne I 
5591.15	80	Ne I 
5610.8908	10m	U I
5620.78	55	U I 
5621.5143	10m	U I
5634.3907	10m	U I
5652.5664	750	Ne I 
5656.0258	750	Ne I 
5656.6588	5000	Ne I
5669.4356	10m	U I
5691.3420	10m	U I 
5716.8754	10m	U I
5758.1433	12m	U I
5758.3575	10m	U I
5662.2	40	Ne II 
5662.5489	750	Ne I 
		
5684.647	250	Ne I 
5689.8163	1500	Ne I 
5715.3409	350	Ne I 
5718.8798	1500	Ne I 
5719.2248	5000	Ne I 
		
5719.53	750	Ne I 
5742.437	80	Ne II 
5748.2985	5000	Ne I 
5748.6446	700	Ne I 
5760.5885	700	Ne I 
		
5764.0525	30	Ne I 
5764.4188	7000	Ne I 
5770.3067	500	Ne I 
5780.59	70	U I 
5798.53	70	U II 
		
5804.09	750	Ne I 
5804.4496	5000	Ne I 
5811.4066	3000	Ne I 
5816.6219	500	Ne I 
5820.1558	5000	Ne I 
		
5828.9063	750	Ne I 
5836.02	45	U I 
5837.68	55	U II 
5852.0039	10m	U I
5852.4878	20000	Ne I 
5868.4165	750	Ne I 
		
5872.145	750	Ne I 
5872.8275	5000	Ne I 
5881.895	10000	Ne I 
5892.7372	10m	U I
5898.3287	200	Ne I 
5902.0944	30	Ne I 
		
5902.4623	500	Ne I 
5902.4894	10m	U I
5902.7835	50	Ne I 
5906.4294	500	Ne I 
5913.633	2500	Ne I 
		
5915.39	230	U I 
5918.9068	2500	Ne I 
5919.029	80	Ne I 
5933.8177	10m	U I
5934.4522	750	Ne I 
5939.3154	500	Ne I 
		
5944.834	5000	Ne I 
5956.8594	10m	U I
5961.6228	700	Ne I 
5965.471	5000	Ne I 
5966.179	350	Ne I 
5971.5	55	U I 
		
5974.6273	5000	Ne I 
